Characteristic,Count,Value
Inner diameter,1,0.0414
Inner diameter,2,0.0405
Inner diameter,3,0.0418
Inner diameter,4,0.0410
Inner diameter,5,0.0419
Inner diameter,6,0.0422
Inner diameter,7,0.0409
Inner diameter,8,0.0405
Inner diameter,9,0.0418
Inner diameter,10,0.0416
Inner diameter,11,0.0411
Inner diameter,12,0.0426
Inner diameter,13,0.0416
Inner diameter,14,0.0414
Inner diameter,15,0.0414
Inner diameter,16,0.0410
Inner diameter,17,0.0424
Inner diameter,18,0.0406
Inner diameter,19,0.0424
Inner diameter,20,0.0412
Inner diameter,21,0.0431
Inner diameter,22,0.0411
Inner diameter,23,0.0413
Inner diameter,24,0.0416
Inner diameter,25,0.0406